DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RANEROU FERLO,LOUGRE THIOLY,BADAGOR,1,453.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,LOUGRE THIOLY,GALLET 1,1,184.0,ECOLE SALLE 1
RANEROU FERLO,LOUGRE THIOLY,GUIRDE LATHIE 1,1,223.0,ABRI PROVISOIRE
RANEROU FERLO,LOUGRE THIOLY,KOSSASSE NAMARY,1,303.0,ECOLE SALLE 1
RANEROU FERLO,LOUGRE THIOLY,LOUGRE THIOLY,1,589.0,ECOLE SALLE 1
RANEROU FERLO,LOUGRE THIOLY,LOUGRE THIOLY,2,582.0,ECOLE SALLE 2
RANEROU FERLO,LOUGRE THIOLY,LOUGRE THIOLY,3,586.0,SALLE 3
RANEROU FERLO,LOUGRE THIOLY,LOUGRE THIOLY,4,65.0,SALLE ANNEXE ECOLE LOUGRE THIOLLY
RANEROU FERLO,LOUGRE THIOLY,NDIAYENE,1,347.0,ECOLE SALLE 1
RANEROU FERLO,LOUGRE THIOLY,THIOUKOUNGAL,1,417.0,ECOLE SALLE DE CLASSE
