DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,COUBALAN,BOURECK,1,319.0,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,COUBALAN,BOURECK,2,319.0,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,1,517.0,SALLE 8 BATIMENT A
BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,2,516.0,SALLE 10 BATIMENT C
BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,3,516.0,13 BATIMENT D
BIGNONA,COUBALAN,DJIGUINOUM,1,533.0,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,COUBALAN,DJILACOUNE,1,456.0,ECOELE ELEMENTAIRE CLASSE CE 2
BIGNONA,COUBALAN,ECOLE ELEMENTAIRE DE BOULINDIENG,1,240.0,CLASSE CM 1
BIGNONA,COUBALAN,ECOLE ELEMENTAIRE DE HATHIOUNE,1,475.0,CLASSE CE 2
BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,1,494.0,CLASSE GS
BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,2,481.0,CLASSE MS
BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,3,228.0,ECOLE ELEMENTAIRE COUBALAN CM2
BIGNONA,COUBALAN,FINTHIOCK,1,405.0,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,COUBALAN,FINTHIOCK,2,409.0,SALLE DE CLASSE
BIGNONA,COUBALAN,NIANDANE,1,399.0,ECOLE ELEMENTAIRE CLASSE CE 2
