DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,DJIREDJI,BADJICOUNDA BAINOUNK,1,167.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,BALMADOU,1,247.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,BOUMOUDA,1,244.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,BOUMOUDA SOUCOTO,1,483.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,DAKABANTANG,1,512.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,DAKABANTANG,2,511.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,DIAGNONDING,1,222.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,DJIREDJI,1,535.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,DJIREDJI,2,533.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,DJIREDJI,3,317.0,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,DJIREDJI,KARANTABA LINKETO,1,431.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,MADINA EL HADJI SOUANE,1,388.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,MADINA LINKETO,1,346.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,SAMET,1,208.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,SINDINA,1,378.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,SINDINA,2,378.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,SINGHERE,1,297.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,SINGHERE,2,297.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,TINGTINGKOME DIOLA,1,382.0,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DJIREDJI,TINGTINGKOME DIOLA,2,383.0,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DJIREDJI,TOUBA,1,462.0,ECOLE LELEMENTAIRE SALLE 1
